"filename", "language", "HTML", "C++", "JSON", "Swift", "XML", "JavaScript", "YAML", "Dart", "Markdown", "Gradle", "Java Properties", "comment", "blank", "total"
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Barista_Screens\BaristaOrderHistoryScreen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Barista_Screens\BaristaProfileScreen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 304, 0, 0, 0, 9, 28, 341
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Client_Screens\CartScreen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 542, 0, 0, 0, 14, 47, 603
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Client_Screens\ChatScreen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 1386, 0, 0, 0, 156, 197, 1739
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Client_Screens\ClientHomeScreen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 230, 0, 0, 0, 14, 15, 259
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Client_Screens\ClientMenuScreen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 298, 0, 0, 0, 25, 31, 354
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Cook_Screens\ActiveOrdersScreen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 361, 0, 0, 0, 18, 28, 407
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Cook_Screens\CookHomeScreen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 199, 0, 0, 0, 11, 23, 233
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Cook_Screens\CookProfileScreen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 304, 0, 0, 0, 9, 28, 341
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Cook_Screens\OrderHistoryScreen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\background_scaffold.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 4, 51
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\cart_item_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 294, 0, 0, 0, 11, 22, 327
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\category_carousel.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 209, 0, 0, 0, 7, 9, 225
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\chat_message_bubble.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 182, 0, 0, 0, 26, 29, 237
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\custom_bottom_navigation_bar.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 918, 0, 0, 0, 37, 47, 1002
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\custom_modal.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 225, 0, 0, 0, 15, 13, 253
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\custom_scaffold.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 1, 5, 56
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\date_filter_bar.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 340, 0, 0, 0, 7, 22, 369
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\dish_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 647, 0, 0, 0, 44, 42, 733
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\logout_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 5, 10, 89
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\order_detail_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 495, 0, 0, 0, 24, 42, 561
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\routes.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 126, 0, 0, 0, 11, 20, 157
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\search_bar.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 5, 46
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\shared_order_history_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 1110, 0, 0, 0, 57, 114, 1281
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\splash_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 3, 17, 102
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\text_with_border.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 2, 4, 53
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\updated_category_carousel.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 6, 91
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\welcome.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 179, 0, 0, 0, 25, 30, 234
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Widgets\welcome_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 2, 5, 60
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 10, 15, 99
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\models\cart_item.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 5, 47
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\models\chat_message.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 11, 15, 131
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\models\user.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 125, 0, 0, 0, 9, 13, 147
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\services\user_preferences_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 16, 23, 138
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\theme\theme.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 2, 7, 264
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\linux\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\linux\runner\main.cc", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\linux\runner\my_application.cc", "C++", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 27, 131
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\linux\runner\my_application.h", "C++", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 3, 4, 25
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
